,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
8859,2019.11.28_08.34.53,-8.483130000000001,51.899221,0,B,11,5G,-90,-18,0.0,6,-74,0,0
8860,2019.11.28_08.34.54,-8.483130000000001,51.899221,0,B,11,5G,-90,-18,0.0,10,-68,0,0
8861,2019.11.28_08.34.55,-8.483130000000001,51.899221,0,B,11,5G,-90,-17,-7.0,10,-68,0,0
8862,2019.11.28_08.34.56,-8.483130000000001,51.899221,0,B,11,5G,-90,-17,-7.0,10,-68,0,0
8863,2019.11.28_08.34.57,-8.483130000000001,51.899221,0,B,11,5G,-90,-17,-4.0,10,-68,0,0
8864,2019.11.28_08.34.59,-8.483130000000001,51.899221,0,B,11,5G,-90,-17,-4.0,9,-70,0,0
8865,2019.11.28_08.35.00,-8.483130000000001,51.899221,0,B,11,5G,-88,-18,-3.0,9,-70,2,4
8866,2019.11.28_08.35.01,-8.483130000000001,51.899221,0,B,11,5G,-88,-18,-3.0,9,-70,0,0
8867,2019.11.28_08.35.02,-8.483130000000001,51.899221,0,B,11,5G,-89,-18,0.0,6,-72,2,4
8868,2019.11.28_08.35.03,-8.483130000000001,51.899221,0,B,11,5G,-89,-18,0.0,6,-72,0,0
8869,2019.11.28_08.35.04,-8.483130000000001,51.899221,0,B,11,5G,-90,-16,-7.0,6,-72,2,4
8870,2019.11.28_08.35.05,-8.483130000000001,51.899221,0,B,11,5G,-90,-16,-7.0,6,-72,0,0
8871,2019.11.28_08.35.06,-8.483130000000001,51.899221,0,B,11,5G,-89,-17,-7.0,6,-72,0,0
8872,2019.11.28_08.35.07,-8.483130000000001,51.899221,0,B,11,5G,-89,-17,-7.0,9,-70,0,0
8873,2019.11.28_08.35.08,-8.483130000000001,51.899221,0,B,11,5G,-88,-17,-7.0,9,-70,0,0
8874,2019.11.28_08.35.09,-8.483130000000001,51.899221,0,B,11,5G,-88,-17,-7.0,9,-70,1,2
8875,2019.11.28_08.35.10,-8.483130000000001,51.899221,0,B,11,5G,-90,-17,-1.0,6,-68,0,0
8876,2019.11.28_08.35.11,-8.483130000000001,51.899221,0,B,11,5G,-90,-17,-1.0,6,-68,0,0
8877,2019.11.28_08.35.13,-8.483130000000001,51.899221,0,B,11,5G,-89,-18,-7.0,8,-70,0,0
8878,2019.11.28_08.35.14,-8.483130000000001,51.899221,0,B,11,5G,-89,-18,-7.0,8,-70,15,26
8879,2019.11.28_08.35.15,-8.483130000000001,51.899221,0,B,11,5G,-89,-19,-5.0,8,-70,0,0
8880,2019.11.28_08.35.16,-8.483130000000001,51.899221,0,B,11,5G,-89,-19,-5.0,8,-70,0,0
8881,2019.11.28_08.35.17,-8.483130000000001,51.899221,0,B,11,5G,-88,-18,-7.0,8,-70,0,0
8882,2019.11.28_08.35.18,-8.483130000000001,51.899221,0,B,11,5G,-88,-18,-7.0,6,-68,0,0
8883,2019.11.28_08.35.19,-8.483130000000001,51.899221,0,B,11,5G,-90,-16,-9.0,8,-70,0,0
8884,2019.11.28_08.35.20,-8.483130000000001,51.899221,0,B,11,5G,-90,-16,-9.0,8,-70,19877,121
8885,2019.11.28_08.35.21,-8.483130000000001,51.899221,0,B,11,5G,-88,-15,-9.0,14,-72,2,4
8886,2019.11.28_08.35.22,-8.483130000000001,51.899221,0,B,11,5G,-88,-15,-9.0,14,-72,2,4
8887,2019.11.28_08.35.23,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,2.0,14,-72,0,0
8888,2019.11.28_08.35.24,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,2.0,14,-72,2,4
8889,2019.11.28_08.35.25,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,3.0,9,-67,0,0
8890,2019.11.28_08.35.27,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,3.0,9,-69,0,0
8891,2019.11.28_08.35.28,-8.483130000000001,51.899221,0,B,11,5G,-89,-14,2.0,9,-69,0,0
8892,2019.11.28_08.35.29,-8.483130000000001,51.899221,0,B,11,5G,-89,-14,2.0,9,-69,0,0
8893,2019.11.28_08.35.30,-8.483130000000001,51.899221,0,B,11,5G,-89,-15,2.0,9,-69,0,0
8894,2019.11.28_08.35.31,-8.483130000000001,51.899221,0,B,11,5G,-89,-15,2.0,9,-69,0,0
8895,2019.11.28_08.35.32,-8.483130000000001,51.899221,0,B,11,5G,-90,-15,-5.0,9,-69,0,0
8896,2019.11.28_08.35.33,-8.483130000000001,51.899221,0,B,11,5G,-90,-15,-5.0,9,-69,0,0
8897,2019.11.28_08.35.34,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,0.0,9,-69,0,0
8898,2019.11.28_08.35.35,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,0.0,9,-69,0,0
8899,2019.11.28_08.35.36,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,-3.0,6,-73,0,0
8900,2019.11.28_08.35.37,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,-3.0,8,-68,0,0
8901,2019.11.28_08.35.38,-8.483130000000001,51.899221,0,B,11,5G,-89,-13,6.0,8,-68,0,0
8902,2019.11.28_08.35.39,-8.483130000000001,51.899221,0,B,11,5G,-89,-13,6.0,8,-68,0,0
8903,2019.11.28_08.35.41,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,1.0,8,-68,0,0
8904,2019.11.28_08.35.42,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,1.0,8,-68,2,4
8905,2019.11.28_08.35.43,-8.483130000000001,51.899221,0,B,11,5G,-89,-14,-7.0,8,-68,0,0
8906,2019.11.28_08.35.44,-8.483130000000001,51.899221,0,B,11,5G,-89,-14,-7.0,8,-68,2,4
8907,2019.11.28_08.35.45,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,-2.0,6,-70,0,0
8908,2019.11.28_08.35.46,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,-2.0,6,-70,2,4
8909,2019.11.28_08.35.47,-8.483130000000001,51.899221,0,B,11,5G,-89,-15,0.0,6,-70,0,0
8910,2019.11.28_08.35.48,-8.483130000000001,51.899221,0,B,11,5G,-89,-15,0.0,6,-70,0,0
8911,2019.11.28_08.35.49,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,-1.0,6,-70,0,0
8912,2019.11.28_08.35.50,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,-1.0,6,-70,0,0
8913,2019.11.28_08.35.51,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,-2.0,6,-70,0,0
8914,2019.11.28_08.35.52,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,-2.0,8,-68,0,0
8915,2019.11.28_08.35.53,-8.483130000000001,51.899221,0,B,11,5G,-90,-15,-3.0,8,-68,0,0
8916,2019.11.28_08.35.54,-8.483130000000001,51.899221,0,B,11,5G,-90,-15,-3.0,8,-68,0,0
8917,2019.11.28_08.35.56,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,0.0,8,-68,0,0
8918,2019.11.28_08.35.57,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,0.0,9,-74,0,0
8919,2019.11.28_08.35.58,-8.483130000000001,51.899221,0,B,11,5G,-91,-14,-2.0,9,-74,0,0
